3806	122	8919
817	230	9211
9767	140	755
2519	12	7005
11380	200	4693
7590	199	5036
9709	68	385
4905	3	4175
14049	10	888
6470	157	9881
12539	5	9389
10782	95	3929
347	14	142
11800	96	8495
526	86	4087
7250	10	5015
10390	129	14182
9477	68	11598
558	172	10390
8576	10	9143
7516	3	6483
12559	191	8534
14161	137	2002
8183	9	3754
8300	149	2227
6484	115	10009
2018	149	11888
10061	59	8132
12326	96	8495
561	176	5132
11634	189	10390
7945	191	11863
686	50	10165
10609	89	10690
8445	6	2754
12583	96	12977
4912	3	13507
5336	73	10390
122	68	5656
9743	166	10796
12294	13	8114
933	73	10390
9573	10	4839
3888	9	3455
14239	85	7791
12221	12	13383
13113	100	9990
13838	138	10532
11523	166	440
1224	78	10532
6530	108	8344
12002	211	2389
8684	106	3791
7637	11	5168
7817	68	315
1857	180	13118
4710	12	5573
8796	68	10755
1236	50	10165
1768	13	6820
7900	10	11245
10061	59	8989
330	200	11682
3867	73	6528
1005	50	10165
8099	201	4026
5936	148	3680
4751	154	9751
8652	59	1031
3978	95	3929
6838	191	733
8697	12	8972
1506	50	10165
9236	85	4497
8166	50	10165
5611	157	13332
4074	186	8663
2424	47	13215
2971	33	7697
3798	85	8918
5121	95	3929
1742	189	8859
11838	44	2088
5213	4	13410
11155	96	10390
1935	50	10165
5148	96	5836
10520	86	4353
8136	188	5836
7110	85	8432
3075	213	4210
8933	68	10520
2452	59	4951
11761	47	5419
14062	178	11079
9249	85	2295
2350	228	4353
11383	10	9983
14070	9	11990
11124	73	11497
6114	89	3994
8912	150	9959
406	30	8376
14465	13	3745
12713	121	14185
10243	230	12665
1932	104	11348
8669	3	1572
2763	148	5611
1569	150	628
69	96	11510
7211	68	8314
7699	140	74
14250	126	14250
12888	176	9794
5043	155	13331
8496	154	11223
4302	191	1370
13770	128	12096
7290	11	9594
9951	102	12660
8255	39	10532
1810	56	1964
11948	19	8079
6673	11	12344
11614	11	1708
6912	191	1370
3651	5	2483
12619	96	7394
8685	177	7757
1647	199	5036
406	11	10666
8209	3	10163
12798	191	11246
7166	109	8353
983	162	4089
12719	190	7448
7098	95	3929
8562	11	11033
2705	10	1999
2841	10	2393
11660	85	9767
5218	2	5167
8161	9	10868
3370	68	11762
9770	149	10098
13506	10	5416
10033	100	11491
6185	3	11801
3864	203	8348
11311	165	13384
11750	86	9920
639	14	2365
2212	10	13940
10911	33	13997
2322	9	8665
11333	117	7103
14196	50	10165
10428	68	9868
1835	85	8432
12586	96	2009
4949	183	13392
10294	73	10390
5958	11	3957
440	163	10525
3205	228	4087
5872	164	4587
11823	88	3085
2620	10	6535
12674	96	6536
13500	96	12977
6921	158	3465
3469	9	10953
5560	68	5657
7844	10	3613
3364	159	2573
1412	32	4847
6939	12	4557
6609	129	13981
14482	9	10345
14234	162	6596
4430	27	8479
12673	9	9455
7952	9	6820
12117	190	10373
8654	3	6364
8575	206	2260
11644	89	4940
3282	215	5165
11356	6	10435
13480	149	2244
9834	115	6862
2444	189	4206
7918	60	7918
513	149	13502
12534	3	11794
4968	6	5549
451	10	12720
7659	192	12088
9927	230	6635
11167	10	11071
12022	149	13483
7725	13	13932
10047	171	2593
12341	96	10390
5853	149	3667
4292	3	11799
7762	10	11319
11806	73	9784
2440	186	5420
8048	10	6783
735	92	9565
14234	162	1420
338	188	10390
13932	3	1664
8917	191	4441
757	10	8292
7512	9	4289
13433	200	3984
11800	96	7103
8916	230	4665
12531	3	7586
4962	190	929
12480	4	6046
9671	10	9011
854	100	11701
2627	32	5589
7258	68	5121
1761	59	4642
401	68	2000
8568	19	4425
13746	129	14416
3276	47	1252
11133	68	6168
424	9	8114
8669	3	8430
11977	10	3753
2168	191	1267
2882	196	7835
1351	4	8899
3680	158	9532
8694	85	6418
11018	93	701
6829	4	3138
10390	124	11244
1505	60	1505
8380	203	9127
2544	95	3929
477	165	13394
911	68	7856
9581	188	9784
4721	3	3958
3959	86	4353
11946	3	13719
13473	9	4332
4553	186	8663
1932	104	10767
12444	149	2749
7302	85	4656
12551	5	11099
6554	85	13459
9442	109	6660
5265	96	4475
6712	100	755
13907	50	10165
1475	24	10960
13595	158	11841
65	93	3475
11801	13	10582
9755	52	5181
12138	89	4940
6271	230	1636
11392	74	4689
1919	12	10656
9365	231	11343
11159	96	8479
12621	96	11497
4748	10	11552
4918	3	1317
349	50	10165
4399	3	10041
5611	154	5556
7014	189	4206
3896	156	7650
7646	188	9784
305	159	11204
3666	85	9767
3265	113	9322
13323	191	12393
3489	11	7455
4148	216	13019
6312	210	9984
6793	96	440
4945	186	8663
3850	11	13951
9600	166	3806
337	11	11772
8771	149	610
12951	129	11912
746	73	10390
5594	199	11682
9274	186	8663
11409	4	10217
1321	50	10165
3542	180	11920
1320	202	12314
10860	3	5819
8109	3	11696
9087	12	6298
2114	9	10579
12043	8	3183
3182	92	13267
9255	41	8338
5853	149	2752
894	9	10607
9642	211	5134
4838	11	12036
8270	33	6346
9645	233	4432
12809	140	4779
977	156	416
12804	14	1318
982	5	11099
12164	73	10390
2683	68	7339
1205	5	1231
8341	129	13693
9322	108	8067
8246	211	2389
10384	187	6928
8325	215	5165
7841	52	8786
9234	158	13331
6865	189	4206
11231	171	3960
2803	58	8481
5194	183	10126
2680	158	11841
7304	5	10566
9675	9	10278
3648	96	10390
1702	93	5575
6917	70	5379
6596	166	9099
10572	3	13231
6950	108	8229
6139	7	8698
977	154	3709
1701	167	13384
12969	9	11870
2404	72	5178
120	188	10390
119	186	8663
9084	165	13395
13944	14	8339
13209	162	10300
2382	158	6921
12483	96	8479
4484	13	12005
11510	165	901
6182	88	9428
10135	93	12291
11983	129	13456
10055	96	12880
905	33	13569
5712	80	3960
10543	92	6845
3960	216	13005
5858	191	9752
10041	13	4918
11464	230	2087
7809	68	5957
6485	50	10165
9616	227	14307
13117	85	6259
1777	140	11808
10008	92	8046
3863	168	10532
9453	10	8390
12005	4	7246
854	11	4411
8124	12	8766
10781	99	4519
4541	10	2887
3721	12	3720
3723	224	11343
14015	13	3736
585	8	5042
654	149	3546
4558	12	7904
1206	129	1158
2232	10	6163
9713	109	8353
4820	10	13310
5666	10	8800
5371	4	662
8342	199	3984
10694	125	13676
4669	70	8862
6031	190	266
1069	199	4693
10278	3	8329
12818	190	12051
4355	53	10081
6536	165	13381
6921	158	11844
5390	73	5836
10577	3	4674
429	191	11246
12832	6	10214
5535	11	9293
11715	11	341
3065	9	11405
4569	9	7084
2819	9	3595
6470	157	11843
13285	8	7707
8370	149	13955
8849	10	1744
9802	129	14440
5611	158	6336
6271	228	4353
950	36	6637
5617	13	5255
12075	106	9541
8472	100	7167
2646	35	14026
2681	83	9569
1087	176	5132
3577	12	3615
8778	183	12844
5979	99	1107
1724	188	10390
4162	59	7692
6981	9	11657
13332	158	7857
3648	85	8432
7369	87	9722
10435	12	2528
10950	201	3294
3809	12	6146
4835	196	7835
1978	196	7835
1817	212	8868
6163	11	2326
14317	236	7575
6016	9	12143
7439	102	10296
5244	7	10779
1685	58	5728
8646	48	5875
11468	73	9084
8934	108	12786
1920	191	13720
2326	80	3960
14144	127	12940
5611	154	6057
7623	157	5611
6549	137	8522
7314	100	12047
6125	39	10532
11509	191	159
486	12	6448
2311	32	6269
6820	3	827
12221	10	14417
7476	99	7494
5213	4	13502
9117	191	1370
6732	40	9418
1087	34	211
7129	201	1202
3651	5	8445
13545	96	13177
9947	191	11852
2612	10	425
13666	128	13667
1312	216	6376
13928	95	3929
10351	3	11800
11742	149	9729
8813	186	5420
1807	188	10390
14361	149	1577
10704	96	6120
2744	189	11986
9027	13	5937
8673	3	2025
1358	203	9833
8430	96	440
11044	85	9089
13092	140	7307
7022	31	7679
1491	10	1036
5371	4	11885
11419	96	11438
8226	128	7804
8007	199	4693
4094	109	5543
11155	73	10390
9998	115	121
7412	191	4396
5273	4	5072
10140	80	9930
10359	166	8479
8464	92	7767
11089	191	6121
13320	57	8442
10190	86	4353
8665	3	4862
2803	59	158
7149	86	4409
6873	183	12962
8100	9	12546
7216	129	8275
8021	191	6121
2545	9	10038
3237	12	2393
2680	156	4925
7719	176	2467
4953	3	10260
7182	68	11003
2904	149	2951
13068	92	752
7304	3	4177
1145	86	4353
3680	154	2277
6582	85	4497
11928	11	13137
10565	89	10093
13393	3	1240
13379	162	10300
13015	204	4847
982	5	5356
4343	200	4693
11856	199	3984
8685	177	1167
6674	4	2700
12300	16	5214
13441	186	5420
5688	12	8048
2058	23	8079
12477	66	2178
6510	210	8953
1837	46	10532
703	9	9512
14327	126	14327
1572	13	1045
2212	191	4396
12996	96	5836
1550	189	14412
11407	5	10581
7096	209	3019
8865	12	6319
10700	14	5812
9512	3	6538
11083	166	10555
8409	199	3984
9238	159	663
10278	4	12678
5277	149	2842
2180	9	10579
13111	80	11259
4779	13	10862
11183	92	5459
7304	3	7739
9524	9	1205
4100	108	8062
1586	145	11311
5680	205	7234
8067	128	12894
407	191	923
9648	158	4849
12677	186	5420
12712	96	12880
4300	59	13428
14438	58	4582
11691	22	9784
9986	188	10390
5317	178	9988
7203	202	5263
10340	3	11119
986	152	7869
477	129	8970
7076	168	10532
2382	157	7869
4557	10	4559
10446	89	10651
3179	9	12551
10042	96	7125
3967	166	5836
12317	183	1103
7939	73	477
8378	9	4664
1031	10	10769
7637	11	11750
7578	191	10485
9881	158	13331
2440	68	5119
5585	93	8280
6732	40	14401
4922	190	14363
5196	10	4743
10033	100	9772
10214	10	2841
10255	6	4338
13992	106	8349
4930	9	4758
13393	3	14016
698	52	2855
12458	96	9889
5046	10	7270
2702	33	4580
14249	68	12466
913	78	10532
13161	196	7835
5043	157	9871
3158	190	12231
12089	118	9784
4761	79	4710
5911	86	4353
3732	59	7458
6043	10	645
10345	3	3191
977	158	2329
14124	23	2119
8644	73	8072
9767	140	3567
2706	9	11176
7825	189	2524
13528	115	7028
4303	4	8446
3001	212	3376
8158	164	4586
3191	13	12548
12680	9	12541
701	100	4777
